Date,Year,Landing,Management type,Group,Fishgear,#Fishers,Family,Name,Catch category,Commercial/noncomm.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
19/01/1996,1996,Shimoni,Shimoni,1,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19/01/1996,1996,Shimoni,Shimoni,2,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,28,30,32,30,28,31,34,29.5,30,32.5,30,29,35.5,36.5,39.5,30,33,30,30,34,40.5,31,30.5,,,,,,,,,
19/01/1996,1996,Shimoni,Shimoni,3,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,24.3,24,23.5,22.5,24,23.5,22.5,17.5,17.5,16.5,,,,,,,,,,,,,,,,,,,,,,
19/01/1996,1996,Shimoni,Shimoni,4,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,26.5,25,21.5,24,24.5,31.5,29.5,24,28,33.5,31.5,32.5,23,22.5,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,2,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,22,24.5,17.3,17.5,19.5,18.2,18.5,18.5,26.5,18.5,19,21.3,15.7,19,18.9,21.6,18.9,20,17.4,22.9,25,25,18.2,18.9,17.1,19.4,18,17.5,27.5,16.9,,
20/01/1997,1997,Mwaepe,Gear restriction,4,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,20.3,22,21.5,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,5,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,23.2,24.1,18.3,26.2,27.5,21.6,15.5,16,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,1,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,17.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,2,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,26.3,27.5,30.5,26,30.4,28.3,28.2,30.2,29,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,3,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,31.7,27.2,16.5,23,18,24,17.2,15,30,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Mwaepe,Gear restriction,4,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,32,20,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Chale,Gear restriction,1,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,34.5,31,24,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Chale,Gear restriction,2,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,24,29.5,28,28.5,31,31.5,25.5,26.5,,,,,,,,,,,,,,,,,,,,,,,,
20/01/1997,1997,Chale,Gear restriction,4,Basket trap,1,Siganidae,Siganus sutor,Rabbitfish,,19,19,18,19.5,18.5,20.5,21,19,20,19,22.5,21.5,26,21.5,22,20,19,19.5,21,17.5,,,,,,,,,,,,
2/4/1998,1998,Kenyatta,Gear restriction and closure,3,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,21,22,25,26,22,23,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/1998,1998,Kenyatta,Gear restriction and closure,4,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,23,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/4/1998,1998,Kenyatta,Gear restriction and closure,8,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,29,18,16,17,18,25,19,17,16,17,17,25,16,19,17,16,17,16,16,,,,,,,,,,,,,
2/4/1998,1998,Kenyatta,Gear restriction and closure,9,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,20,29,13,16,28,15,12,18,13,13,12,13,,,,,,,,,,,,,,,,,,,,
3/3/1998,1998,Kenyatta,Gear restriction and closure,3,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,21,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/1998,1998,Kenyatta,Gear restriction and closure,5,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,17,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/1998,1998,Kenyatta,Gear restriction and closure,6,Smalltrap,,Siganidae,Siganus sutor,Rabbitfish,C,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/1998,1998,Kenyatta,Gear restriction and closure,7,Smalltrap,,Siganidae,Siganus sutor,Rabbitfish,C,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/3/1998,1998,Kenyatta,Gear restriction and closure,8,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,18,20,16,21,19,19,21,19,,,,,,,,,,,,,,,,,,,,,,,
5/3/1998,1998,Kenyatta,Gear restriction and closure,2,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,14,14,9,10,10,10,11,14,10,,,,,,,,,,,,,,,,,,,,,,,
5/3/1998,1998,Kenyatta,Gear restriction and closure,5,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,17,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/3/1998,1998,Kenyatta,Gear restriction and closure,7,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,23,21,23,21,24,26,24,18,25,21,24,24,22,23,20,,,,,,,,,,,,,,,,,
8/4/1998,1998,Mwaepe,Gear restriction,6,Line,,Siganidae,Siganus sutor,Rabbitfish,C,19,20,21,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/1998,1998,Kenyatta,Gear restriction and closure,1,Gill net,,Siganidae,Siganus sutor,Rabbitfish,C,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/1998,1998,Kenyatta,Gear restriction and closure,2,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,21,22,24,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/1998,1998,Kenyatta,Gear restriction and closure,4,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,17,18,18,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/1998,1998,Mvuleni,Gear restriction,1,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,22,27,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/1998,1998,Mvuleni,Gear restriction,2,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,10,10,10,10,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/1998,1998,Mvuleni,Gear restriction,3,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,17,14,16,11,24,24,11,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/1998,1998,Mvuleni,Gear restriction,4,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,14,11,10,13,15,14,11,12,11,15,,,,,,,,,,,,,,,,,,,,,,
9/4/1998,1998,Mvuleni,Gear restriction,5,Basket trap,,Siganidae,Siganus sutor,Rabbitfish,C,11,12,11,12,12,26,,,,,,,,,,,,,,,,,,,,,,,,,,
